incoming,text
"""Let's go see Neil.""","Salvucci nods. ""That’s a good idea.  You take doctor Strauss and do that. Travis and I will go check engineering. If it's wounded and looking for some place to hide, there’s plenty of spots. Let’s meet back here in an hour.""\n\nStrauss scoffs. ""You’re treating the beast like it's a wounded animal limping toward its doom. You’re wrong. It showed no hesitation when it attacked. It’s not afraid of us. It’s waiting.""\n\nSalvucci wrinkles his nose as he is wont to do when someone says something that annoys him. ""Regardless, we’ll find the creature and put it down.""\n\n""Creatures,"" she says, correcting him. ""There might be two of them now.""\n\n""Noted,"" Meat says, replacing the clip in his rifle. You realize now that he has the most powerful firearm on the ship.\n""If you two run into it or them or whatever, don’t try to fight. Just run. Come find us.""\n\n""We should stop talking and get on our way,"" Strauss says gruffly. ""Before it eats that damnable pilot, which wouldn’t be such a bad thing if we didn’t need him to fly the ship.""\n\n""Now’s not the time for jokes, Doctor,"" Salvucci says.\n\n""Who says I was joking?"" Strauss replies before leaving the room. You follow.\n\n""Zoe,"" Meat calls right before you step into the hallway. You turn. ""Be careful.""\n\n1.[[""Don't worry about me, ya big softie.""]]\n2.[[""Whatever.""]]"
"""What else are we going to do?""","""All right, let’s get down to the hanger. Just…do me a favor. If we’re about to get sucked into space, just fucking shoot me, okay?""\n\n1.\t[[""Will do, partner.""]]\n2.\t[[""Happy thoughts, Meat. Happy thoughts.""]]\n"
"Finish programming the pods.","Strauss shows up just as you finish. She smells like smoke.\n\n""It's done.""\n\nShe takes off her glasses and places them on a table nearby.\n\nShe looks at you, tears in her eyes, and says ""I just want to sleep.""\n\nShe gets into her pod without another word. The hatch closes over her. You get in yours and close your eyes as the hatch seals. Sleep follows.\n\nWhen you awaken, you find yourself being assisted by a corporal. He takes you by the arm and guides you up from the pod. \n\nBoth you and Strauss are transported to private rooms on the biggest military outpost in New Austin. You order steak and wine but find that you don't have an appetite. Some suits interview you and, after you answer every question, you're told that you'll be allowed to leave soon.\n\n""Soon"" turns out to be three days. You and Strauss meet on the base. She seems paler and thinner.\n\n""Can we get a drink?"" she asks. ""I just want to go somewhere, anywhere but home first.""\n\n1.[[""Sure, why not?""]]\n2. [[Go on home.]]"
"""I'm alive.""","""A keen observerer, you are."" His voice is twangy. Maybe you're on Mars somehow.\n\n""No,"" he says. ""You're not on Mars. You fell into a rift and got yourself stuck between universes. To tell you the truth, I'm more impressed by your survival instinct than anything else. I thought I had patched all the holes.""\n\n1. [[""Holes?""]]"
"We need to draw it out.","""Okay, with what?"" Neil asks.\n\nThere’s a moment of silence as you, Meat, and Strauss turn to look at Neil. \n\n""Oh,"" he says, getting it. ""Well fuck that.""\n\n1. [[""Don’t be a baby.""]]\n2. [[""We could just knock you out.""]]\n\n\n"
"""Are you two serious? This is insane!""","""I already took one risk today, Zoe, and that got someone else killed. Superstitious or not, we’re doing this. Now come on.""\n\nSalvucci leaves the room. You turn to look at Meat.\n\n1.[[""Don't get yourself killed.""]]\n2.[[""You sick bastard.""]]\n"
"""Home. Let's get the fuck home.""","""Yeah, let’s.""\n\nThe two of you walk back through the hallway leading to the hanger and then to the cockpit. The bodies of your crew are still there, including the headless corpse of Dr.Strauss.\n\n""I was hoping she got away,"" he said sadly.\n\n1.[[""Ditto.""]]\n2.[[""What happened, happened.""]]"
"""That's better. Now, any idea on how we kill this thing?""","""One, but we have to act quickly. Let's go to sickbay.""\n\nYou follow her. When you get there, she tells you to lock both doors into the unit. You do so.\n\n""How many rounds do you have left?"" she asks as she pulls out a small brush and a flask of a yellow sticky substance.""\n\nYou hand her the clip.\n\n""Okay, good, there's enough here.""\n\nYou watch her get to work. She ejects each bullet from the clip and then sticks her brush carefully inside the flask. Pulling the brush from the flask, she coats each bullet with some of the goo.\n\n1.[[""Explanation please.""]]"
"""So if we can't melt it...what's the point?""","""I'm getting there. The viewport windows are bulletproof, but enough acid might penetrate all the layers. All it takes is one crack on the outside layer.""\n\n1. [[""We're gonna blow him into space?""]]"
"""Most people would say 'thank you.'""","""You're right. You saved my life and I'm grateful for that. I just hope you did more than briefly delay my demise.""\n\n1.[[""That's better. Now, any idea on how we kill this thing?""]]"
"""She wants us to run out of resources.""","""She’s doing a hell of a job of it, then. Played us like a fuckin’ fiddl—""\n\n""Julia! Neil! Anyone!"" Your walkie comes to life; it’s Strauss, her voice filled with panic.\n\nYou pull the walkie off your belt loop.\n\n""Please help us!"" Strauss cries. ""The captain keeps shooting but it’s not doin—oh god.""\n\nNeil looks at you in horror. You click the button on side the side of the talkie. You say:\n\n1.\t[[""Hold on, Doc. We’re coming!""]]\n2.\t[[""Serves you right.""]]\n3.\t[[Say nothing; give the walkie to Meat.]]\n\n"
"Blast 'em.","You fire several shots into the sea of creatures and even kill a few, but they still surge toward you.\n\n""Come on!"" Meat roars. ""This isn't a fight we can win.""\n\nYou both retreat. ""Neil,"" he yells into the comm. ""Bring the Speedwell to the LZ. We need some fucking help here.""\n\n""Coming as fast I can,"" you hear Neil say.\n\nYou run and run and run. You lose feelings in your legs but somehow manage to keep going full speed anyway. Near the end, you swear that your heart is going to burst and that your lungs will catch on fire, but you manage to stumble out of the tunnel into the irradiated light of dusk.\n\nAcross the way, you see Markie running by herself--her suit covered in what appears to be blood. Ryan is nowhere to be seen. You’ve covered half the distance to her when, looking up, you see the Speedwell beginning its descent.\n\nWhen you reach her, you take her by the arm and look through her visor. Her eyes are wild, and she's sweating.\n\n""Markie,"" Meat says, ""where's Ryan?""\n\nShe stutters. ""D...d..dead.""\n\n""Fuck!"" He turns back to the hole you and he emerged from. The wave of crabs has reached the mouth of the cave. In the light, they're purple and fungal looking.\n\nHe fires some shots at them while you tend to Markie. Her arm is wounded.\n\n1.\t[[""You alright?""]]\n2.\t[[Stay silent and keep your hand over the tear in her suit.]]\n"
"""You better watch your tone, Doc. I’m getting tired of your bullshit.""","Strauss says nothing.  You can’t help but notice Neil’s grin.\n\n""When are they supposed to be back?""\n\n""An hour from when we left,"" Strauss says.\n\n""How long ago was that?""\n\n""I don’t know. I’m a doctor, not a timekeeper.""\n\n""Sheesh. Well, okay, so what should we do to pass the time?""\n\n""Time’s going to pass regardless of what we do with it.""\n\n""Right. So you’re going to sulk over there in the corner. Fine.""\nHe turns to you. ""Julia?""\n\n1.\t[[Rock, Paper, Scissors]]\n2.\t[[Tic-Tac-Toe]]\n3.\t[[Also sulk in silence]]"
"Shoot Ben.","You go for your gun, but someone beats you to the trigger. A shot tears off Ben's lower jaw, sending it flying into the wall. The second splits his forehead. The body falls back onto the floor and continues to gurgle.\n\nYou turn to see Strauss holding up the captain's pistol, tears in her eyes.\n\n""Doc,"" Meat says, but she walks past him and continues to fire round after round into the corpse. Ben goes silent and still.\n\n""Lenore,"" Salvucci says, reaching out to comfort her. \n\n""We have to burn him too,"" she says, no hint of emotion in her voice. ""Don't touch him. Don't want to risk infection anymore than we possibly have.""\n\n""What about airborne infection?"" Salvucci asks.\n\n""What of it?"" she says. ""If it's airborne, we're dead anyway.""\n\n""I'll go get some oil then,"" say Meat.\n\n""And I'll check on the console in the cockpit and hope to god Neil had enough time or selflessness to set up our autopilot. Julia, why don't you go get our cryopods ready?""\n\n1. [[Set up the cryopods.]]\n"
"""We kill it.""","""With what? Pistol rounds ain’t gonna put that motherfucker down, Z.""\n\n1.[[""With fisticuffs.""]]\n2.[[""The hanger. We can use the hanger.""]]\n"
"""I know. Now let’s make it count.""","""Yeah,"" he says, not meeting your eyes. ""I guess so.""\n\n""He gave you a password, right?"" Strauss says. ""Maybe there’s an autopilot sequence on his computer.""\n\n""Doesn’t do us any good if that thing is still stomping around.""\n\n""Do you really think it survived that blast?""\n\n""Is that a serious question?""\n\n""Either way, we need to get the ship moving. Let’s get to the cockpit and decide what to do there.""\n\nYou make your way toward the cockpit. About halfway there, Meat speaks.\n\n""What was it doing when it killed Neil?""\n\n""Evolving,"" Strauss answers.\n\n""Did you get a good look at it?"" Meat asks.\n\n1.[[""I didn't.""]]\n2.[[""It had a lot of tentacles.""]]\n"
"Talk to Salvucci and Strauss","Salvucci is talking when you head over. You can see that Strauss is smiling, but it’s a sad smile.\n\n""She was a strong individual,"" Salvucci says. ""I’ve had her on four voyages. One time, three years back, we were all on Europa at the hanger and everyone was boarding, and this guy sets off the detector. He opens his shirt and reveals enough explosives to decimate every person in the hanger. Meat, Me, couple of others have got our guns trained on him, but Markie-–she talked him down. She saw what nobody else saw:just a stupid kid gripped in the thrall of some fundamentalist nonsense. She saved at least one life that day, probably more.""\n\n""She was a good soldier,"" Strauss says sadly.\n\n1.[[""She was.""]]\n2.[[""That’s funny coming from the person who was more than ready to put her down a couple of hours ago.""]]\n"
"Shoot Neil too.","You shoot Neil as well. His corpse falls to the floor. His lifeless eyes look up at you in confusion.\n\nWhat now?\n\n1. [[Wait it out.]]\n2. [[Kill yourself.]]\n"
"""You crazy bitch.""","""I had to kill him, you understand?"" she says. ""He attacked me.""\n\n""That's fine, doctor. He wasn't Ben anymore,"" Salvucci says.\n\n""Relax, doc,"" Meat adds, rifle aimed at her chest.\n\n""He bit me,"" she says, holding up her arm to show the bite mark. ""Shit, he bit me.""\n\nMeat narrows his eyes and holds the rifle steadily. No one says anything. Tears stream down Strauss' face.\n\n""Maybe if I had more time I could...but I can feel it in me now, coursing through my body. There's blood in the back of my throat. Vision blurry. Minutes. That's how long this takes to change us.""\n\nShe looks at the pistol, turns it over in her hand as though she's seeing something she's never seen before.\n\n""Kill it,"" she says. ""Don't let it reach Mars.""\n\nBefore any of you can stop her, she's pressed the barrel under her chin and pulled the trigger. Red splashes the ceiling. Strauss falls foward, head smashing into the floor.\n\n""Fuck,"" Meat yells.\n\nWhatever color was left in Salvucci's face drains. Meat, in a moment of calculated rage, lifts his foot high over Ben's skull and stomps it several times. The insides of the boy's head ooze out like the innards of an old tomato. After he's done with Ben, he steps over to Strauss' body and aims his rifle down at her head.\n\nHe looks at the captain, who nods. He fires four shots and obliterates the top half of the woman's face.\n\n""Shit shit shit,"" he groans, stepping away from the mutilated corpse.\n\n1.[[""We should check on the pilot.""]]"
"""Do I look like a fucking scientist, cap?""","""What killed Ryan?"" Neil continues.\n\n""Stop talking, Neil,"" Salvucci says with a raised voice before turning back to you. ""Maybe Strauss was right.""\n\n""Captain, I have to insist. Ryan is a childhood buddy. I know his family. Somebody tell me what’s going on.""\n\n""Ryan got killed by some fucking thing,"" Meat says. ""Markie got bit by these crab things and she’s infected with something. Up to speed, dipshit? Let the adults talk now.""\n\nNeil sinks back into his chair. ""He’s dead,"" he says in disbelief.\n\n1.[[""We're going to be that way too if we don't get our head in the game, Neil.""]]\n2.[[""Suck it up, Neil. Cry later.""]]"
"""What do we do?""","""Should we look for it?"" Neil says.\n\n""Fuck that!"" Meat says, turning. He aims his assault rifle at the first speaker and dismembers it with a single shot. He takes the second, third speakers out of commission as well. The music is no longer overpowering, but you can hear its echoes in the hallway.\n\n""Brutal but effective,"" Strauss comments.\n\nSalvucci frowns. ""You’re footing the bill for that when we get back.""\n\nNeil raises his finger. ""Guys, now that Julia is awake, I think we should talk strategy. I just finished with our travel projections,"" Neil says.\n\n""And?"" Strauss says, as though she knows what’s coming next.\n\n""Well, it’s like you said, doc: not good. Two months to Mars.""\n\n""We could last that long,"" Salvucci says. ""We ration food, ammo, go in groups to the rest of the ship when we need supplies.""\n\n""Captain, permission to speak?"" Meat says.\n\nSalvucci nods.\n\n""That’s a horrible idea. We’ve got guns. Why don’t we use them? For all we know, that beastie thing could be growing. We need to hunt it down and kill it now.""\n\n""Travis, I put a gun against Markie’s head and blew her brains all over the floor. Apparently the thing inside her shook it off and walked away. I don’t think bullets are going to save us.""\n\n""Then we destroy the body completely,"" Meat suggests. ""Shoot it, stomp it, burn it, and then jettison the motherfucker into space.""\n\n""Captain, I don’t like either choice, but I think the more cautious one would be eliminating its presence from the ship,"" Strauss says slowly.\n\n""Didn’t you say something about it being airborne?"" Salvucci asks. ""Could killing it infect one of us?""\n\nStrauss sighs, shrugs. ""There’s no way to be sure. I didn’t get to run any tests on it. However, I’d rather take a chance on that possibility than risk us starving ourselves into easy prey.""\n\nSilence fills the common room. Then—\n\n""What do you think, Julia?"" Neil asks.\n\nEveryone turns to you.\n\n1.\t[[""Let’s kill it.""]]\n2.\t[[""Let’s wait it out.""]]"
"Continue onward to the mess hall.","You proceed into the mess hall.\n\n""Check everything,"" Salvucci orders. You check around the tables and near the entertainment closest while Meat looks around the kitchen. Salvucci keeps his eyes on the door.\n\nYou find some of you soy raisin cookies and pocket them. No monsters, though.\n\nMeat pokes his head out of the kitchen. ""Nothing.""\n\n""Shit,"" Salvucci says. ""I guess we should go to the ba--"" A high-pitched scream cuts him off. Then, gunfire.\n\n""Strauss,"" Salvucci says.\n\n""Well, come on, let's go,"" Meat says, running out of the kitchen, rifle in hands.\n\nAll of you run out the door and down the hallway toward Neil's cockpit. You're halfway there when you spot a sticky mass of flesh and blonde hair on the ground.\n\n""It's Ben,"" Meat says.\n\nYou're almost to the body when Strauss, hair a mess and her cheek dripping with blood, steps out from the corner. Her shaky hands are gripped around the captain's pistol, a gun aimed at all three of you.\n\n1. [[""Doc, put the gun down.""]]\n\n"
"""Got it.""","The groups go their separate ways; you hike down the cliff with Meat. It takes the larger portion of an hour to reach your tunnel. You step inside.\n\n""Let's get our lights on.""\n\nYou both tell your suits to turn your on your light attachments. You flickers for a moment before shooting a cone of light from your chest compartment.\n\nThe two of you proceed through the cave. On the Head-Up Display (HUD) of your suit, you can see the heartbeat monitors of everyone in your squad. You see that yours is going a little faster than normal and, knowing that everyone else can see that, you feel a little embarrassed.\n\nYou proceed through the cave.\n\n""You know what I want?"" Meat asks. He doesn't wait for you to answer. ""I want a fucking taco. Beef. Cheese. Some guac on top. No more of this space bag food bullshit.""\n\n1.[[""Pizza.""]]\n2.[[""Space food's not so bad.""]]"
"""We need to go. Now!""","""Meet us at the center of the crater!"" Markie yells over the comm.\n\nYou look at Ryan’s heart monitor: he’s about to flatline.\n \nThat’s when you hear the roar from the black.\n\nYou have a single bullet left.\n\n1. [[End Ryan's pain.]]\n2. [[Shoot the monster.]]"
"""Yeah, well, let's make sure he died for something worth dying for.""","""Yeah,"" he says, not meeting your eyes. ""I guess so.""\n\n""He gave you a password, right?"" Strauss says. ""Maybe there’s an autopilot sequence on his computer.""\n\n""Doesn’t do us any good if that thing is still stomping around.""\n\n""Do you really think it survived that blast?""\n\n""Is that a serious question?""\n\n""Either way, we need to get the ship moving. Let’s get to the cockpit and decide what to do there.""\n\nYou make your way toward the cockpit. About halfway there, Meat speaks.\n\n""What was it doing when it killed Neil?""\n\n""Evolving,"" Strauss answers.\n\n""Did you get a good look at it?"" Meat asks.\n\n1.[[""It wiggled a lot.""]]\n2.[[""I did not. I was too busy running for my life.""]]\n"
"""Well, you are ideal bait...""","""When I was asking for support, I didn't mean that kind of support.""\n\n""You'll be fine, son,"" Salvucci says.\n\n""We'll cut that fucker down before it even gets close.""\n\n""Reassuring. Really. So can I at least have the knowledge of where I'm going to die before we get there?""\n\n""Sickbay,"" Salvucci says. ""Tight space, we'll wait on the outside.""\n\n""Sickbay,"" Neil repeats. ""I'm going to die in sickbay.""\n\n""Just move it,"" Meat says. ""The sooner we get there, the sooner we kill it.""\n\nYou notice a trace of uneasiness in Meat's voice.\n\n1.[[Onward to Sickbay.]]"
"""You're not even real.""","""No,"" she says, turning away from you. ""But it is.""\n\nYou turn just in time to make out the tentacle that rends your head from your body.\n\nThe last sound you hear is the beast roaring with satisfaction.\n\nThe End"
" Pull out your pistol and fire blindly.","Meat fires the rifle across the room, the gun’s light chasing Markie’s feet as she darts away. You raise your pistol and fire blindly in front of Meat’s light, hoping to hit her with a lucky shot. Beside you, Neil screams in terror.\n\nYou hear the tell-tell click of the rifle as the clip goes dry. Meat swings the rifle around to point the flashlight at the door.\n\n""Go!""\n\nYou all make a beeline for the door. Meat yanks on the handle and light bleeds into the darkness, as all three of you sprint into the hallway. You slam the door and then bend over to catch your breath. Luckily, you manage to pull back just in time to avoid the spew of vomit that erupts from Neil’s mouth.\n\n""That was Markie—our Markie?"" he says, wiping the spittle from his lip.\n\n""Yeah, it was,"" Meat answers, a tinge of sadness in his voice. He reloads the clip. ""This is my last one.""\n\n""Why didn’t she attack us?""\n\n1.[[""She wants us to run out of resources.""]]\n2.[[""She’s toying with us.""]]\n\n\n\n"
"Also sulk in silence","""Guess not,"" he says, seeing the expression on your face. \n\n""I'll just go over here and play with this tablet.""\n\n""Idiot,"" you hear Strauss mutter.\n\nYou take a seat on the examination table and look around the wrecked room. You're staring at the bloodstains left by Ben's corpse when the door opens and in walk Meat and Salvucci; both men wear dark expressions.\n\n""I’m guessing your hunt was uneventful?"" Strauss says.\n\n""Yeah, go on and rub it then,"" Meat says, turning to rifle through the medical cabinets.\n\n""What are you looking for?""\n\n""Food.""\n\n""This is a medical facility. What makes you think there’s food in here?""\n\nMeat opens one of the lower cabinets and, after a moment, pulls out a large bag of apricot chips.\n\n""Your assistant told me about his stash a while back.""\n\n""I’m glad you can eat his food while his blood is smeared all over the floor.""\n\n""Not like he’s going to need them,"" Meat says with a shrug.\n\n""Enough you two,"" Salvucci barks. ""Pilot, you all right?""\n\n""Yeah, I’m fine, captain. Thanks for asking.""\n\n""Did you three see anything?""\n\n""No,"" Strauss says.\n\n1.[[""Where did you look?""]]\n2.[[""Did it leave any sort of trail?""]]"
"""We can't turn on each other, man.""","""Sorry,"" he says. ""She’s just getting on my nerves. I know she’s had it rough. She and Ben were a thing, so she’s on edge even more than usual, I guess.""\n\nThe two of you enter the cafeteria and then, after taking a precautionary look around, you go into the kitchen and begin to stuff everything you can get your hands on into the two bags you brought from sickbay: fruit chips, soda, water bottles, pastries, canned soup.\n\nWhen you’ve filled the bags, you leave the cafeteria and make your way to the common room. Strauss, Neil, and Salvucci are waiting. The common room is a circular room with a couch, several chairs, and a large wall-mounted monitor connected a server archive of countless movies, shows, and documentaries.  \n\nOn the back wall, there are portholes—just like on the ships of old that sailed the waters of Earth—where you can gaze into the dark of space.\n\n""Run into any trouble?"" Salvucci asks as you hand him the bag.\n\n""Didn’t see a damn thing,"" Meat says.\n\n""I’m telling you,"" Strauss says, rubbing her bandaged arm, ""we won’t see it until it wants us to see it.""\n\nMeat grumbles something about paranoia and then heads over to the table, where Neil is setting up a checkers board.\n\n""How’s your arm, doctor?"" Salvucci asks.\n\n""Fine, captain. Thank you.""\n\nYou're a bit tired.\n\nWhat should you do?\n\n1.[[Talk to Neil and Meat.]]\n2.[[Take a nap.]]\n"
